"# Device id and info table",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#",,,,,,,,,,,,,,"Reserved flash start",,"Scratchpad (SFLE=1)",,,,,,,,,"C2 Breakpoint SFR's",,,,,,,,
"# Name","Deviceid","Derivativeid","Version","String observed","Flash size","Flash sector Size","Xram size","External bus","Tested","Lock Type","Read lock","Write Lock","Single lock","Bottom","Top","Present","Start","Length","Sector Size","Paged SFR","SFR_Page","USB FIFO","Debug Interface","Cache","BP0L","BP0H","BP1L","BP1H","BP2L","BP2H","BP3L","BP3H","Comments"
"C8051F000","0x00","0x00",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","Datasheet says there are 2 valid device id's for the F000"
"C8051F010","0x02","0x01",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F001","0x00","0x02",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F011","0x02","0x03",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F002","0x00","0x04",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F012","0x02","0x05",-1,,"0x8000",512,0,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F206","0x01","0x08",-1,,"0x2000",512,1024,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F220","0x01","0x0e",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F221","0x01","0x0f",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F226","0x01","0x10",-1,,"0x2000",512,1024,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F230","0x01","0x12",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F231","0x01","0x13",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F236","0x01","0x14",-1,,"0x2000",512,1024,FALSE,FALSE,"FLT_RW","0x1dff","0x1dfe",-1,"0x1e00","0x1fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F005","0x00","0x16",-1,,"0x8000",512,2048,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F006","0x00","0x17",-1,,"0x8000",512,2048,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F007","0x00","0x18",-1,,"0x8000",512,2048,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F015","0x02","0x19",-1,,"0x8000",512,2048,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F016","0x02","0x1a",-1,,"0x8000",512,2048,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F017","0x02","0x1b",-1,,"0x8000",512,2048,FALSE,FALSE,"FLT_RW","0x7dff","0x7dfe",-1,"0x7e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F020","0x03","0x1c",-1,,"0x10000",512,4096,TRUE,TRUE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00","0xffff",TRUE,"0x0000","0x80",128,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F021","0x03","0x1d",-1,,"0x10000",512,4096,FALSE,TRUE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00","0xffff",TRUE,"0x0000","0x80",128,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F022","0x03","0x1e",-1,,"0x10000",512,4096,FALSE,TRUE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00","0xffff",TRUE,"0x0000","0x80",128,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F023","0x03","0x1f",-1,,"0x10000",512,4096,FALSE,TRUE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00","0xffff",TRUE,"0x0000","0x80",128,FALSE,0,FALSE,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F300","0x04","0x20",-1,,"0x2000",512,0,FALSE,TRUE,"FLT_SINGLE",-1,-1,"0x1dff","0x1e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0xd2}","{0,0xd3}","{0,0xd4}","{0,0xd5}","{0,0xd6}","{0,0xd7}","{0,0xdd}","{0,0xde}",
"C8051F301","0x04","0x21",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x1dff","0x1e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0xd2}","{0,0xd3}","{0,0xd4}","{0,0xd5}","{0,0xd6}","{0,0xd7}","{0,0xdd}","{0,0xde}",
"C8051F302","0x04","0x22",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x1dff","0x1e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0xd2}","{0,0xd3}","{0,0xd4}","{0,0xd5}","{0,0xd6}","{0,0xd7}","{0,0xdd}","{0,0xde}",
"C8051F303","0x04","0x23",-1,,"0x2000",512,0,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x1dff","0x1e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0xd2}","{0,0xd3}","{0,0xd4}","{0,0xd5}","{0,0xd6}","{0,0xd7}","{0,0xdd}","{0,0xde}",
"C8051F018","0x02","0x24",-1,,"0x4000",512,1024,FALSE,FALSE,"FLT_RW","0x3dff","0x3dfe",-1,"0x3e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F019","0x02","0x25",-1,,"0x4000",512,1024,FALSE,FALSE,"FLT_RW","0x3dff","0x3dfe",-1,"0x3e00","0x7fff",FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F304","0x04","0x26",-1,,"0x1000",512,0,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x0fff","0x1000",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F305","0x04","0x27",-1,,"0x0800",512,0,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x07ff","0x800",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F332","0x0a","0x2c",-1,,"0x1000",512,512,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x0fff","0x1000",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F333","0x0a","0x2d",-1,,"0x1000",512,512,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x0fff","0x1000",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F334","0x0a","0x2e",-1,,"0x800",512,512,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x07ff","0x0800",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F335","0x0a","0x2f",-1,,"0x800",512,512,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x07ff","0x0800",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F040","0x05","0x30",-1,,"0x10000",512,4096,TRUE,FALSE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00",-1,TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F041","0x05","0x31",-1,,"0x10000",512,4096,TRUE,FALSE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00",-1,TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F042","0x05","0x32",-1,,"0x10000",512,4096,TRUE,FALSE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00",-1,TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F043","0x05","0x33",-1,,"0x10000",512,4096,TRUE,FALSE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00",-1,TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F044","0x05","0x34",-1,,"0x10000",512,4096,TRUE,FALSE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00",-1,TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F045","0x05","0x35",-1,,"0x10000",512,4096,TRUE,FALSE,"FLT_RW","0xfdff","0xfdfe",-1,"0xfe00",-1,TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F046","0x05","0x36",-1,,"0x8000",512,4096,TRUE,FALSE,"FLT_RW","0x7fff","0x7ffe",-1,"0x8000",-1,TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F047","0x05","0x37",-1,,"0x8000",512,4096,TRUE,FALSE,"FLT_RW","0x7fff","0x7ffe",-1,"0x8000",-1,TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F316","0x08","0x38",-1,,"0x4000",512,1024,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x3dff","0x3e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F317","0x08","0x39",-1,,"0x4000",512,1024,FALSE,FALSE,"FLT_SINGLE",-1,-1,"0x3dff","0x3e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F060","0x06","0x40",-1,,"0x10000",512,4096,TRUE,FALSE,"FLT_RW","0xfbff","0xfbfe",-1,"0xfc00","0xffff",TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F061","0x06","0x41",-1,,"0x10000",512,4096,FALSE,FALSE,"FLT_RW","0xfbff","0xfbfe",-1,"0xfc00","0xffff",TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F062","0x06","0x42",-1,,"0x10000",512,4096,TRUE,FALSE,"FLT_RW","0xfbff","0xfbfe",-1,"0xfc00","0xffff",TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F063","0x06","0x43",-1,,"0x10000",512,4096,FALSE,FALSE,"FLT_RW","0xfbff","0xfbfe",-1,"0xfc00","0xffff",TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F064","0x06","0x44",-1,,"0x10000",512,4096,TRUE,FALSE,"FLT_RW","0xfbff","0xfbfe",-1,"0xfc00","0xffff",TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F065","0x06","0x45",-1,,"0x10000",512,4096,FALSE,FALSE,"FLT_RW","0xfbff","0xfbfe",-1,"0xfc00","0xffff",TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F066","0x06","0x46",-1,,"0x8000",512,4096,TRUE,FALSE,"FLT_RW","0x7fff","0x7ffe",-1,"0x8000","0xffff",TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F067","0x06","0x47",-1,,"0x8000",512,4096,FALSE,FALSE,"FLT_RW","0x7fff","0x7ffe",-1,"0x8000","0xffff",TRUE,"0x0000","0x80",128,TRUE,"0x84",0,"JTAG",0,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F120","0x07","0x48",-1,,"0x20000",1024,8192,TRUE,TRUE,"FLT_RW","0x1fbff","0x1fbfe",-1,"0x1FC00","0x1ffff",TRUE,"0x0000","0x100",128,TRUE,"0x84",0,"JTAG",1,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F121","0x07","0x49",-1,,"0x20000",1024,8192,TRUE,FALSE,"FLT_RW","0x1fbff","0x1fbfe",-1,"0x1FC00","0x1ffff",TRUE,"0x0000","0x100",128,TRUE,"0x84",0,"JTAG",1,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F122","0x07","0x4a",-1,,"0x20000",1024,8192,TRUE,FALSE,"FLT_RW","0x1fbff","0x1fbfe",-1,"0x1FC00","0x1ffff",TRUE,"0x0000","0x100",128,TRUE,"0x84",0,"JTAG",1,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F123","0x07","0x4b",-1,,"0x20000",1024,8192,TRUE,FALSE,"FLT_RW","0x1fbff","0x1fbfe",-1,"0x1FC00","0x1ffff",TRUE,"0x0000","0x100",128,TRUE,"0x84",0,"JTAG",1,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F124","0x07","0x4c",-1,,"0x20000",1024,8192,TRUE,FALSE,"FLT_RW","0x1fbff","0x1fbfe",-1,"0x1FC00","0x1ffff",TRUE,"0x0000","0x100",128,TRUE,"0x84",0,"JTAG",1,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F125","0x07","0x4d",-1,,"0x20000",1024,8192,TRUE,FALSE,"FLT_RW","0x1fbff","0x1fbfe",-1,"0x1FC00","0x1ffff",TRUE,"0x0000","0x100",128,TRUE,"0x84",0,"JTAG",1,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F126","0x07","0x4e",-1,,"0x20000",1024,8192,TRUE,FALSE,"FLT_RW","0x1fbff","0x1fbfe",-1,"0x1FC00","0x1ffff",TRUE,"0x0000","0x100",128,TRUE,"0x84",0,"JTAG",1,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F127","0x07","0x4f",-1,,"0x20000",1024,8192,TRUE,FALSE,"FLT_RW","0x1fbff","0x1fbfe",-1,"0x1FC00","0x1ffff",TRUE,"0x0000","0x100",128,TRUE,"0x84",0,"JTAG",1,"{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}","{0,0}",
"C8051F310","0x08","0x50",-1,,"0x4000",512,1024,FALSE,TRUE,"FLT_SINGLE",-1,-1,"0x3dff","0x3e00",-1,FALSE,-1,-1,0,FALSE,0,FALSE,"C2",0,"{0,0x85}","{0,0x86}","{0,0xab}","{0,0xac}","{0,0xce}","{0,0xcf}","{0,0xd2}","{0,0xd3}",
